"Please Enter your twitter email","Vui lòng nhập địa chỉ email twitter"
"Submit","Đồng ý"
"Please Enter your linked email","Vui lòng nhập địa chỉ email của bạn"
"Submit","Đồng ý"
"Email Address","Địa chỉ email"
"Forgot Your Password","Quên mật khẩu"
"Dont have an account?","Chưa có tài khoản?"
"Create One!","Tạo mới!"
"New User? Sign Up","Bạn là thành viên mới? Đăng nhập"
"First Name","Họ"
"Last Name","Tên"
"Password","Mật khẩu"
"Confirm Password","Nhập lại mật khẩu"
"Sign Up Now!","Đăng ký ngay!"
"Sign Up with","Đăng ký với!"
"Already have an account?","Đã có tài khoản?"
"Login","Đăng nhập"
"Enter your Email Address here to receive a link to change password.","Nhập địa chỉ email để nhận link thay đổi mật khẩu."
"Enter Your Email","Nhập email của bạn"
"Sign in with","Đăng nhập với"
"Sign up with","Đăng ký với" 
"Sign in","Đăng nhập"
"Your account has been successfully connected through","Your account has been successfully connected through"
"Thank you for registering with","Cảm ơn bạn đã đăng ký thành viên với muafast"
"You will receive welcome email with registration info in a moment.","You will receive welcome email with registration info in a moment."
"User profile can\'t provide all required info, please register and then connect with Apptha Social login.","User profile can\'t provide all required info, please register and then connect with Apptha Social login."
"Twitter Login connection failed","Twitter Login connection failed"
"This email is already is registered!","Email này đã được sử dụng!"
"This email is already associated with","This email is already associated with"
"Facebook Login connection failed","Đăng nhập facebook thất bại"
"Google Login connection failed","Đăng nhập google thất bại"
"Yahoo Login connection failed","Đăng nhập yahoo thất bại"
"Linkedin Login connection failed","Linkedin Login connection failed"
"This email is already is registered!","This email is already is registered!"
"This email is already associated with","This email is already associated with"
"Thank you for registering with","Thank you for registering with"
"You will receive welcome email with registration info in a moment.","You will receive welcome email with registration info in a moment."
"If you are a registered VAT customer, please click <a href="%s">here</a> to enter you shipping address for proper VAT calculation"
"Invalid Email Address or Password","Email và mật khẩu không đúng"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.","Tài khoản yêu cầu kích hoạt. Vui lòng vào email của bạn để kích hoạt tài khoản. Nhận lại mail kích hoạt <a href="%s">tại đây</a>."
"Account Not Confirmed","Tài khoản không tưng thích"
"Invalid customer data","Invalid customer data"
"Already exists","Tài khoản này đã tồn tại"
"Cannot save the customer.","Không thể lưu khách hàng này."
"This field is required","Không được để trống"
"If there is an account associated with ","If there is an account associated with "
" you will receive an email with a link to reset your password"," Bạn sẽ nhận được email với link reset mật khẩu"
"Password doesnot match","Mật khẩu không trùng"
"Password cannot be less than 6","Mật khẩu phải hơn 6 ký tự"
"Facebook","Facebook"
"Google+","Google+"
"Yahoo","Yahoo"
"Twitter","Twitter"
