"Please Enter your twitter email","Please Enter your twitter email"
"Submit","Submit"
"Please Enter your linked email","Please Enter your linked email"
"Submit","Submit"
"Email Address","Email Address"
"Forgot Your Password","Forgot Your Password"
"Dont have an account?","Dont have an account?"
"Create One!","Create One!"
"New User? Sign Up","New User? Sign Up"
"First Name","First Name"
"Last Name","Last Name"
"Password","Password"
"Confirm Password","Confirm Password"
"Sign Up Now!","Sign Up Now!"
"Already have an account?","Already have an account?"
"Login","Login"
"Enter your Email Address here to receive a link to change password.","Enter your Email Address here to receive a link to change password."
"Enter Your Email","Enter Your Email"
"Sign in with","Sign in with"
"Sign in","Sign in"
"Your account has been successfully connected through","Your account has been successfully connected through"
"Thank you for registering with","Thank you for registering with"
"You will receive welcome email with registration info in a moment.","You will receive welcome email with registration info in a moment."
"User profile can\'t provide all required info, please register and then connect with Apptha Social login.","User profile can\'t provide all required info, please register and then connect with Apptha Social login."
"Twitter Login connection failed","Twitter Login connection failed"
"This email is already is registered!","This email is already is registered!"
"This email is already associated with","This email is already associated with"
"Facebook Login connection failed","Facebook Login connection failed"
"Google Login connection failed","Google Login connection failed"
"Yahoo Login connection failed","Yahoo Login connection failed"
"Linkedin Login connection failed","Linkedin Login connection failed"
"This email is already is registered!","This email is already is registered!"
"This email is already associated with","This email is already associated with"
"Thank you for registering with","Thank you for registering with"
"You will receive welcome email with registration info in a moment.","You will receive welcome email with registration info in a moment."
"If you are a registered VAT customer, please click <a href="%s">here</a> to enter you shipping address for proper VAT calculation"
"Invalid Email Address or Password","Invalid Email Address or Password"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>."
"Account Not Confirmed","Account Not Confirmed"
"Invalid customer data","Invalid customer data"
"Already exists","Already exists"
"Cannot save the customer.","Cannot save the customer."
"This field is required","This field is required"
"If there is an account associated with ","If there is an account associated with "
" you will receive an email with a link to reset your password"," you will receive an email with a link to reset your password"
"Password doesnot match","Password doesnot match"
"Password cannot be less than 6","Password cannot be less than 6"
"Facebook","Facebook"
"Google+","Google+"
"Yahoo","Yahoo"
"Twitter","Twitter"
