"sku","name","weight","manufacturer","clothing_size","material","color","category_ids","status","price","qty","visibility","tax_class_id","description","short_description","attribute_set","websites","store","type","is_in_stock","special_price","special_from_date","special_to_date"
"S38QUAN1411311012R1000","Quần Jean nam J-18",0,"Kenfashion",28,"Jean thun","Nâu wash","3,37,68","Hiệu lực",350000,99,"Catalog, Search","None","Quần skinny ống côn, wash loang bụi, giúp bạn mang một phong cách sành điệu.
Chất liệu jean thun, giúp các bạn có thể hoạt động thoải mái, không gò bó.
Phù hợp với các buổi dạo phố, party, hay những buổi đi chơi quanh thành phố với bạn bè.","None","Quan","base","admin","simple","1",,,
"S38QUAN1411311012R1001","Quần Jean nam J-18",0,"Kenfashion",29,"Jean thun","Nâu wash","3,37,68","Hiệu lực",350000,99,"Catalog, Search","None","Quần skinny ống côn, wash loang bụi, giúp bạn mang một phong cách sành điệu.
Chất liệu jean thun, giúp các bạn có thể hoạt động thoải mái, không gò bó.
Phù hợp với các buổi dạo phố, party, hay những buổi đi chơi quanh thành phố với bạn bè.","None","Quan","base","admin","simple","1",,,
"S38QUAN1411311012R1002","Quần Jean nam J-18",0,"Kenfashion",30,"Jean thun","Nâu wash","3,37,68","Hiệu lực",350000,99,"Catalog, Search","None","Quần skinny ống côn, wash loang bụi, giúp bạn mang một phong cách sành điệu.
Chất liệu jean thun, giúp các bạn có thể hoạt động thoải mái, không gò bó.
Phù hợp với các buổi dạo phố, party, hay những buổi đi chơi quanh thành phố với bạn bè.
","None","Quan","base","admin","simple","1",,,
"S38QUAN1411311012R1003","Quần Jean nam J-18",0,"Kenfashion",31,"Jean thun","Nâu wash","3,37,68","Hiệu lực",350000,99,"Catalog, Search","None","Quần skinny ống côn, wash loang bụi, giúp bạn mang một phong cách sành điệu.
Chất liệu jean thun, giúp các bạn có thể hoạt động thoải mái, không gò bó.
Phù hợp với các buổi dạo phố, party, hay những buổi đi chơi quanh thành phố với bạn bè.
","None","Quan","base","admin","simple","1",,,
"S38QUAN1411311012R1004","Quần Jean nam J-18",0,"Kenfashion",32,"Jean thun","Nâu wash","3,37,68","Hiệu lực",350000,99,"Catalog, Search","None","Quần skinny ống côn, wash loang bụi, giúp bạn mang một phong cách sành điệu.
Chất liệu jean thun, giúp các bạn có thể hoạt động thoải mái, không gò bó.
Phù hợp với các buổi dạo phố, party, hay những buổi đi chơi quanh thành phố với bạn bè.
","None","Quan","base","admin","simple","1",,,
"S38QUAN1411311012R1005","Quần Jean nam J-18",0,"Kenfashion",34,"Jean thun","Nâu wash","3,37,68","Hiệu lực",350000,99,"Catalog, Search","None","Quần skinny ống côn, wash loang bụi, giúp bạn mang một phong cách sành điệu.
Chất liệu jean thun, giúp các bạn có thể hoạt động thoải mái, không gò bó.
Phù hợp với các buổi dạo phố, party, hay những buổi đi chơi quanh thành phố với bạn bè.
","None","Quan","base","admin","simple","1",,,
"S38QUAN1411311012R1006","Quần jean nam J-17",0,"Kenfashion",28,"Jean thun","Nâu","3,37,68","Hiệu lực",300000,99,"Catalog, Search","None","Quần skinny ống côn, màu nâu trơn 1 tông đơn giản.
Chất liệu jean thun thoải mái, giúp các bạn hoạt động dễ dàng.
Phù hợp với các buổi đi chơi, dạo phố, với tông 1 màu đơn giản cũng phù hợp với những buổi tiệc có tính chất trang trọng.","None","Quan","base","admin","simple","1",,,
"S38QUAN1411311012R1007","Quần jean nam J-17",0,"Kenfashion",29,"Jean thun","Nâu","3,37,68","Hiệu lực",300000,99,"Catalog, Search","None","Quần skinny ống côn, màu nâu trơn 1 tông đơn giản.
Chất liệu jean thun thoải mái, giúp các bạn hoạt động dễ dàng.
Phù hợp với các buổi đi chơi, dạo phố, với tông 1 màu đơn giản cũng phù hợp với những buổi tiệc có tính chất trang trọng.","None","Quan","base","admin","simple","1",,,
"S38QUAN1411311012R1008","Quần jean nam J-17",0,"Kenfashion",30,"Jean thun","Nâu","3,37,68","Hiệu lực",300000,99,"Catalog, Search","None","Quần skinny ống côn, màu nâu trơn 1 tông đơn giản.
Chất liệu jean thun thoải mái, giúp các bạn hoạt động dễ dàng.
Phù hợp với các buổi đi chơi, dạo phố, với tông 1 màu đơn giản cũng phù hợp với những buổi tiệc có tính chất trang trọng.","None","Quan","base","admin","simple","1",,,
"S38QUAN1411311012R1009","Quần jean nam J-17",0,"Kenfashion",31,"Jean thun","Nâu","3,37,68","Hiệu lực",300000,99,"Catalog, Search","None","Quần skinny ống côn, màu nâu trơn 1 tông đơn giản.
Chất liệu jean thun thoải mái, giúp các bạn hoạt động dễ dàng.
Phù hợp với các buổi đi chơi, dạo phố, với tông 1 màu đơn giản cũng phù hợp với những buổi tiệc có tính chất trang trọng.","None","Quan","base","admin","simple","1",,,
